pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
DeVante Parker,2015,6.705590559999999,-1.67906544,8.384656,0.01692942974513338,-0.00538162,-8.202207504073264e-4,0.0524041,42357,WR,DeVante Parker,MIA,WR,10.089542462109797,8.712859887731675,1.3766825743781244,470
Phillip Dorsett,2017,6.69670564,-6.41695076,13.1136564,-0.02643293124106947,-0.02496868,0.08248604033135327,0.0775956,42372,WR,Phillip Dorsett,NE,WR,-1.3883298711129892,-0.5378376035026614,-0.850492267610328,464
Tutu Atwell,2022,6.69074692,0.96231378,5.72843314,0.03900729774344784,0.00517373,0.03856690752243982,0.04695437,53486,WR,Tutu Atwell,LA,WR,10.681676825232044,9.335057277615702,1.3466195476163407,304
Seth Roberts,2017,6.642676640000001,-10.00380724,16.64648388,-0.01049682259717518,-0.01946266,0.08370247565587102,0.07113882,41983,WR,Seth Roberts,OAK,WR,-16.179292869431624,-16.300214416462477,0.1209215470308566,755
Jeremy Maclin,2017,6.641057310000001,-2.87806889,9.5191262,-0.0058264072414884,-0.00891043,0.01770179684547768,0.05063365,34470,WR,Jeremy Maclin,BLT,WR,3.644896201905041,3.942035876890238,-0.2971396749851969,547
Zay Jones,2017,6.613068690000002,-10.45624629,17.06931498,-0.02635903056067644,-0.02014691,0.03299122036856843,0.05219974,44849,WR,Zay Jones,BUF,WR,-22.935209608727913,-19.818545763218875,-3.1166638455090383,933
Randall Cobb,2021,6.590245399999999,-2.66362984,9.25387524,-0.01386105790779676,-0.00912202,0.06304410680600829,0.08568403,37139,WR,Randall Cobb,GB,WR,6.450896345669194,5.382490599500685,1.0684057461685086,396
Seth Roberts,2016,6.557348160000001,-6.98416122,13.54150938,9.95527508971984e-4,-0.01189806,0.08391554400294521,0.06099779,41983,WR,Seth Roberts,OAK,WR,-11.519082734340548,-11.718185969295948,0.19910323495539947,896
Henry Ruggs III,2021,6.5333742699999995,-0.98267169,7.51604596,-0.0129171803596969,-0.00425399,0.06538694142469384,0.07297132,52420,WR,Henry Ruggs III,LV,WR,10.207855784155177,11.508785179868898,-1.3009293957137222,330
Allen Lazard,2019,6.5161687399999995,-3.0348036,9.55097234,-0.00929244150753803,-0.0082244,0.07450842308128182,0.05247787,46705,WR,Allen Lazard,GB,WR,11.526519835801277,10.521193374992373,1.005326460808903,639
Braxton Berrios,2021,6.501905399999999,0.8992825200000001,5.602622879999999,0.00187643630385023,0.00325827,0.0518984134279583,0.05047408,46279,WR,Braxton Berrios,NYJ,WR,8.448877456237774,8.819981313160053,-0.371103856922278,407
