pff_PLAYERNAME,Season,Position,TotalBoxPM,TotalPassBoxPM,TotalRunDBoxPM,PassPM,PassBoxPM,PlayerID,RunDPM,RunDBoxPM,PlayerName,team,position,TotalEPAR,PassEPAR,RunDEPAR,plays
Brian Robison,2016,EDGE,-30.40250442,-28.31569648,-2.08680794,-0.07575886986786257,-0.05573956,32295,-0.01288254004068792,-0.00679742,Brian Robison,MIN,ED,-5.93013996026421,-5.1530825344139535,-0.7770574258502574,877
Marcus Peters,2016,CB,-30.383408730000003,-35.68089237,5.29748364,-0.04113390243838915,-0.05398017,42361,0.00852989705698393,0.01285797,Marcus Peters,KC,CB,-39.539302397375224,-43.617500556623014,4.07819815924779,1112
Jadeveon Clowney,2018,EDGE,-30.035537530000003,-28.16499608,-1.87054145,-0.01188074438907701,-0.04594616,41227,-0.00616351873263262,-0.00579115,Jadeveon Clowney,HST,ED,-24.894590995193344,-0.5178988523018156,-24.376692142891528,954
William Gay,2015,CB,-29.959812689999996,-40.25405838,10.29424569,-0.0468857289046778,-0.05114874,32363,0.02772634963805121,0.02445189,William Gay,PIT,CB,-19.564382183738402,-14.019311694042914,-5.545070489695489,1238
Marlon Humphrey,2022,CB,-29.900882689999996,-35.093461839999996,5.192579149999999,-0.03901670455085097,-0.04928857,44828,0.00216685514671827,0.01314577,Marlon Humphrey,BLT,CB,-25.760226747921667,-27.594489097863285,1.8342623499416182,1089
Shaquil Barrett,2020,EDGE,-29.64369858,-26.15897976,-3.4847188200000003,-0.02543337874225364,-0.03999844,41915,-0.01454250528185349,-0.01138797,Shaquil Barrett,TB,ED,-15.692889708624927,-15.065392538389455,-0.6274971702354732,1044
Jalen Ramsey,2020,CB,-29.463107829999995,-32.428189859999996,2.96508203,-0.06884899057621598,-0.04652538,43294,0.00381301988492449,0.00758333,Jalen Ramsey,LA,CB,-9.728907079047115,-13.474454712915668,3.7455476338685534,1069
Patrick Chung,2016,S,-29.36075171,-29.70714754,0.34639583,-0.05121236611159242,-0.03843097999999999,34485,-0.01341453958435159,8.6383e-4,Patrick Chung,NE,S,10.08619733729732,7.034479511696304,3.051717825601015,1237
Josh Norman,2015,CB,-29.2868164,-33.85349032,4.5666739199999995,-0.0323786382874854,-0.03954847,38673,0.01924148721429734,0.01189238,Josh Norman,CAR,CB,-41.175586744857476,-40.86831319590274,-0.3072735489547393,1295
Ricardo Allen,2016,S,-29.25151474,-32.32445994,3.0729452,-0.00852139326915336,-0.03521183,41376,0.0117857333727211,0.0076063,Ricardo Allen,ATL,S,1.0193966972488444,0.29643467424164094,0.7229620230072026,1371
